CAP,Comune,Regione,Latitudine,Longitudine
67030,Roccacasale,Abruzzi,42.1225,13.8876
67030,Pacentro,Abruzzi,42.0504,13.9915
67030,Cansano,Abruzzi,42.0035,14.0134
67030,Introdacqua,Abruzzi,42.0097,13.8978
67030,Bugnara,Abruzzi,42.0238,13.8614
67030,Scontrone,Abruzzi,41.7468,14.0388
67030,Ateleta,Abruzzi,41.8544,14.1981
67030,Goriano Sicoli,Abruzzi,42.0801,13.7746
67030,Cocullo,Abruzzi,42.0328,13.775
67030,Rocca Pia,Abruzzi,41.9343,13.9773
67030,Vittorito,Abruzzi,42.127,13.8167
67030,Prezza,Abruzzi,42.0579,13.8359
67030,Campo Di Giove,Abruzzi,42.0101,14.0394
67030,Campo Di Fano,Abruzzi,42.0538,13.8781
67031,Roccacinquemiglia,Abruzzi,41.8122,14.1207
67031,Castel Di Sangro,Abruzzi,41.7839,14.1065
67032,Pescasseroli,Abruzzi,41.8034,13.7871
67033,Pescocostanzo,Abruzzi,41.8872,14.0661
67034,Pettorano Sul Gizio,Abruzzi,41.9733,13.96
67035,Pratola Peligna,Abruzzi,42.097,13.8747
67035,Bagnaturo,Abruzzi,42.0927,13.9071
67036,Rivisondoli,Abruzzi,41.8702,14.0667
67037,Aremogna,Abruzzi,41.824,14.0342
67037,Pietransieri,Abruzzi,41.8467,14.1191
67037,Roccaraso,Abruzzi,41.8487,14.0785
67038,Frattura,Abruzzi,41.9305,13.8708
67038,Scanno,Abruzzi,41.9044,13.8796
67038,Frattura Di Scanno,Abruzzi,41.9305,13.8708
67039,Arabona,Abruzzi,42.0386,13.92
67039,Marane,Abruzzi,42.0638,13.9477
67039,Cavate,Abruzzi,42.0073,13.9294
67039,Abazia Di Sulmona,Abruzzi,42.0386,13.92
67039,Torrone,Abruzzi,42.0454,13.8962
67039,Albanese,Abruzzi,42.0204,13.9244
67039,Sulmona,Abruzzi,42.0494,13.9258
67039,Torrone Di Sulmona,Abruzzi,42.0454,13.8962
67040,San Martino D'Ocre,Abruzzi,42.2733,13.4772
67040,Collarmele,Abruzzi,42.0603,13.6267
67040,Ocre,Abruzzi,42.1668,13.5519
67041,Aielli,Abruzzi,42.0815,13.5911
67041,Aielli Stazione,Abruzzi,42.0639,13.5849
67043,Celano,Abruzzi,42.0808,13.517
67044,Cerchio,Abruzzi,42.0636,13.6001
67045,Lucoli,Abruzzi,42.2909,13.338
67045,Casamaina Di Lucoli,Abruzzi,42.2596,13.3909
67045,Casamaina,Abruzzi,42.2596,13.3909
67045,Ville Di Lucoli,Abruzzi,42.27,13.3733
67046,San Potito,Abruzzi,42.1213,13.5149
67046,Santo Iona,Abruzzi,42.0999,13.5102
67046,Ovindoli,Abruzzi,42.1376,13.516
67047,Rocca Di Cambio,Abruzzi,42.2375,13.4891
67048,Rovere,Abruzzi,42.1757,13.5161
67048,Rovere Di Rocca Di Mezzo,Abruzzi,42.1757,13.5161
67048,Rocca Di Mezzo,Abruzzi,42.2044,13.5184
67049,Rocca Santo Stefano Di Tornimparte,Abruzzi,42.3359,13.2605
67049,Rocca Santo Stefano,Abruzzi,42.3359,13.2605
67049,Villagrande,Abruzzi,42.2953,13.3
67049,San Nicola,Abruzzi,42.1288,13.287
67049,San Nicola Di Tornimparte,Abruzzi,42.3024,13.2737
67049,Tornimparte,Abruzzi,42.2901,13.3009
67050,San Vincenzo Valle Roveto Superiore,Abruzzi,41.8334,13.5235
67050,Massa D'Albe,Abruzzi,42.1072,13.3943
67050,Roccavivi,Abruzzi,41.8121,13.5366
67050,San Vincenzo Vecchio,Abruzzi,41.8334,13.5235
67050,Rendinara,Abruzzi,41.8362,13.4674
67050,Pagliara Dei Marsi,Abruzzi,41.9385,13.5013
67050,Carrito,Abruzzi,42.0266,13.719
67050,Grancia,Abruzzi,41.8614,13.4335
67050,Castronovo,Abruzzi,41.8503,13.4812
67050,Ortona Dei Marsi,Abruzzi,41.9982,13.7291
67050,San Sebastiano,Abruzzi,42.03,13.3117
67050,Canistro Superiore,Abruzzi,41.9385,13.5013
67050,Ortucchio,Abruzzi,41.9553,13.6465
67050,Villavallelonga,Abruzzi,41.871,13.6209
67050,Canistro,Abruzzi,41.941,13.3988
67050,Pagliara,Abruzzi,42.0051,13.3213
67050,Civita D'Antino,Abruzzi,41.8863,13.4721
67050,Canistro Inferiore,Abruzzi,41.941,13.4119
67050,Morino,Abruzzi,41.8644,13.457
67050,Albe,Abruzzi,42.081,13.4092
67050,Forme,Abruzzi,42.1108,13.4418
67050,San Vincenzo Valle Roveto,Abruzzi,41.8445,13.5357
67050,Castellafiume,Abruzzi,41.9891,13.3344
67050,Collelongo,Abruzzi,41.8866,13.5838
67050,Lecce Nei Marsi,Abruzzi,41.9344,13.6843
67050,Bisegna,Abruzzi,41.9211,13.7576
67050,Corona,Abruzzi,42.1,13.3833
67050,Pero Dei Santi,Abruzzi,41.8795,13.4541
67051,Cese,Abruzzi,42.0245,13.3889
67051,Paterno,Abruzzi,42.0595,13.4792
67051,San Pelino,Abruzzi,42.0516,13.4624
67051,Avezzano,Abruzzi,42.029,13.4264
67051,Antrosano,Abruzzi,42.0641,13.4102
67051,Santuario Di Pietracquaria,Abruzzi,42.0457,13.4334
67052,Balsorano Nuovo,Abruzzi,41.8088,13.5607
67052,Ridotti,Abruzzi,41.7874,13.6064
67052,Balsorano,Abruzzi,41.8098,13.5598
67052,Ridotti Di Balsorano,Abruzzi,41.7874,13.6064
67053,Capistrello,Abruzzi,41.9722,13.3962
67053,Corcumello,Abruzzi,42.0083,13.3465
67053,Pescocanale,Abruzzi,41.9556,13.3915
67053,Pescocanale Di Capistrello,Abruzzi,41.9556,13.3915
67054,Meta,Abruzzi,41.8887,13.4032
67054,Civitella Roveto,Abruzzi,41.9133,13.424
67055,Gioia Dei Marsi,Abruzzi,41.957,13.6906
67055,Casali D'Aschi,Abruzzi,41.957,13.6906
67056,Luco Dei Marsi,Abruzzi,41.9593,13.4735
67057,Pescina,Abruzzi,42.0235,13.6512
67057,Venere,Abruzzi,41.991,13.6455
67058,San Benedetto Dei Marsi,Abruzzi,42.0076,13.6238
67059,Trasacco,Abruzzi,41.9574,13.5327
67060,Petrella Liri,Abruzzi,42.0173,13.2827
67060,Cappadocia,Abruzzi,42.0076,13.2781
67060,Verrecchie,Abruzzi,42.0354,13.248
67061,Villa Romana,Abruzzi,42.1067,13.1076
67061,Tufo Di Carsoli,Abruzzi,42.1067,13.1076
67061,Colli Di Montebove,Abruzzi,42.0971,13.1578
67061,Pietrasecca,Abruzzi,42.1349,13.1268
67061,Montesabinese,Abruzzi,42.0922,13.1133
67061,Carsoli,Abruzzi,42.0988,13.0886
67061,Poggio Cinolfo,Abruzzi,42.1103,13.0516
67062,Magliano De' Marsi,Abruzzi,42.0915,13.3638
67062,Rosciolo Dei Marsi,Abruzzi,42.1195,13.3405
67062,Rosciolo,Abruzzi,42.1195,13.3405
67062,Marano Dei Marsi,Abruzzi,42.1243,13.2705
67063,Oricola,Abruzzi,42.0492,13.0394
67063,Civita,Abruzzi,42.0767,13.0445
67064,Pereto,Abruzzi,42.0582,13.1023
67066,Rocca Di Botte,Abruzzi,42.031,13.0718
67067,Santo Stefano,Abruzzi,42.1223,13.2261
67067,Sante Marie,Abruzzi,42.1037,13.2016
67067,Scanzano,Abruzzi,42.1058,13.2502
67067,Santo Stefano Di Sante Marie,Abruzzi,42.1223,13.2261
67068,Scurcola Marsicana,Abruzzi,42.0631,13.3392
67068,Cappelle,Abruzzi,42.0668,13.38
67068,Cappelle Dei Marsi,Abruzzi,42.065,13.3596
67069,Sorbo Di Tagliacozzo,Abruzzi,42.0747,13.3162
67069,Tagliacozzo,Abruzzi,42.0693,13.2547
67069,San Donato,Abruzzi,42.0944,13.2802
67069,Gallo Di Tagliacozzo,Abruzzi,42.0972,13.2657
67069,Tremonti,Abruzzi,42.0921,13.1945
67069,Villa San Sebastiano,Abruzzi,42.03,13.3117
67069,Sorbo,Abruzzi,42.0747,13.3162
67069,Poggetello Di Tagliacozzo,Abruzzi,42.0887,13.2365
67069,San Donato Di Tagliacozzo,Abruzzi,42.0944,13.2802
67069,Poggio Filippo,Abruzzi,42.0847,13.3057
67069,Poggetello,Abruzzi,42.0887,13.2365
67069,Gallo,Abruzzi,42.0972,13.2657
67069,Roccacerro,Abruzzi,42.0664,13.2077
67100,Bagno,Abruzzi,42.3096,13.4248
67100,Pile,Abruzzi,42.3521,13.3486
67100,Monticchio,Abruzzi,42.3203,13.4638
67100,Pagliare,Abruzzi,42.3488,13.3099
67100,Poggio Di Roio,Abruzzi,42.3318,13.3775
67100,L'Aquila,Abruzzi,42.3506,13.3995
67100,Paganica,Abruzzi,42.5053,13.2739
67100,Arischia,Abruzzi,42.4182,13.3407
67100,San Gregorio,Abruzzi,42.327,13.4953
67100,Aragno,Abruzzi,42.3964,13.4577
67100,San Benedetto,Abruzzi,42.3032,13.4358
67100,Preturo,Abruzzi,42.3781,13.2963
67100,Collebrincioni,Abruzzi,42.3981,13.4153
67100,Santi,Abruzzi,42.4026,13.2414
67100,Onna,Abruzzi,42.3167,13.4667
67100,Pianola,Abruzzi,42.3234,13.4039
67100,Colle Di Roio,Abruzzi,42.3426,13.3468
67100,Tempera,Abruzzi,42.3662,13.4568
67100,Forcella,Abruzzi,42.1042,13.602
67100,Assergi,Abruzzi,42.4154,13.5079
67100,Campo Imperatore,Abruzzi,42.3748,13.4018
67100,San Vittorino Amiterno,Abruzzi,42.3748,13.4018
67100,Colle Brincioni,Abruzzi,42.3748,13.4018
67100,Bazzano,Abruzzi,42.3748,13.4018
67100,Roio Piano,Abruzzi,42.3278,13.357
67100,San Vittorino,Abruzzi,42.3969,13.3143
67100,Camarda,Abruzzi,42.3955,13.4993
67100,Sassa,Abruzzi,42.352,13.2992
67100,Coppito,Abruzzi,42.3673,13.3436
66010,Ari,Abruzzi,42.2897,14.2586
66010,Pennapiedimonte,Abruzzi,42.1556,14.1943
66010,Gessopalena,Abruzzi,42.0552,14.2737
66010,San Martino Sulla Marrucina,Abruzzi,42.2242,14.2158
66010,Miglianico,Abruzzi,42.3577,14.2918
66010,Semivicoli,Abruzzi,42.277,14.2137
66010,Fara Filiorum Petri,Abruzzi,42.2415,14.1803
66010,Lettopalena,Abruzzi,42.0025,14.1565
66010,Roccamontepiano,Abruzzi,42.2429,14.1289
66010,San Rocco,Abruzzi,42.2429,14.1289
66010,Tollo,Abruzzi,42.3454,14.3236
66010,San Pietro,Abruzzi,42.2819,14.2629
66010,Ripa Teatina,Abruzzi,42.366,14.2444
66010,Civitella Messer Raimondo,Abruzzi,42.0889,14.217
66010,Montenerodomo,Abruzzi,41.9768,14.2518
66010,Lama Dei Peligni,Abruzzi,42.0421,14.1868
66010,Vacri,Abruzzi,42.2976,14.229
66010,Pretoro,Abruzzi,42.2192,14.1425
66010,Canosa Sannita,Abruzzi,42.2963,14.3051
66010,Giuliano Teatino,Abruzzi,42.3122,14.2808
66010,Casacanditella,Abruzzi,42.2464,14.2004
66010,Palombaro,Abruzzi,42.1232,14.2299
66010,Rapino,Abruzzi,42.2093,14.1849
66010,Castelferrato,Abruzzi,42.3775,14.2211
66010,Colledimacine,Abruzzi,42.0037,14.2008
66010,Villamagna,Abruzzi,42.3298,14.2369
66010,Torrevecchia Teatina,Abruzzi,42.3827,14.2133
66010,Terranova,Abruzzi,42.2595,14.1367
66011,Colle Sant'Antonio,Abruzzi,42.3192,14.1358
66011,Bucchianico,Abruzzi,42.3037,14.1838
66012,Casalincontrada,Abruzzi,42.2974,14.1351
66014,Villa Tucci,Abruzzi,42.3047,14.3214
66014,Crecchio,Abruzzi,42.2978,14.3266
66015,Fara San Martino,Abruzzi,42.0925,14.209
66016,Villa San Vincenzo,Abruzzi,42.1926,14.2215
66016,Caporosso,Abruzzi,42.2019,14.207
66016,Guardiagrele,Abruzzi,42.1941,14.2194
66016,Comino,Abruzzi,42.1868,14.1923
66016,Piano Delle Fonti,Abruzzi,42.1877,14.2674
66017,Palena,Abruzzi,41.9835,14.137
66018,Taranta Peligna,Abruzzi,42.0205,14.171
66019,Fallascoso,Abruzzi,42.0044,14.242
66019,Torricella Peligna,Abruzzi,42.024,14.2585
66020,Rocca San Giovanni,Abruzzi,42.246,14.4616
66020,Sambuceto,Abruzzi,42.0236,14.379
66020,Torino Di Sangro Stazione,Abruzzi,42.1788,14.4789
66020,San Giacomo Di Scerni,Abruzzi,42.1788,14.4789
66020,San Giovanni Teatino,Abruzzi,42.4091,14.201
66020,Villalfonsina,Abruzzi,42.1604,14.5693
66020,Scerni,Abruzzi,42.1042,14.5743
66020,Sant'Egidio,Abruzzi,42.1758,14.4873
66020,Torino Di Sangro,Abruzzi,42.191,14.5427
66020,Pollutri,Abruzzi,42.1378,14.5917
66020,Paglieta,Abruzzi,42.1614,14.5031
66021,Miracoli,Abruzzi,42.1535,14.5991
66021,Casalbordino,Abruzzi,42.1535,14.5991
66021,Casalbordino Stazione,Abruzzi,42.1535,14.5991
66022,Villascorciosa,Abruzzi,42.2403,14.4756
66022,Scorciosa,Abruzzi,42.229,14.4333
66022,Fossacesia,Abruzzi,42.242,14.4834
66022,Fossacesia Marina,Abruzzi,42.2499,14.5102
66023,Francavilla Al Mare,Abruzzi,42.4216,14.2822
66023,Francavilla Al Mare Rione Foro,Abruzzi,42.4216,14.2822
66026,San Nicola,Abruzzi,42.324,14.382
66026,Ortona Porto,Abruzzi,42.324,14.382
66026,Ortona Foro,Abruzzi,42.324,14.382
66026,Ortona,Abruzzi,42.3509,14.4034
66026,Villa Grande,Abruzzi,42.3286,14.3638
66026,Villa San Leonardo,Abruzzi,42.3108,14.4002
66026,San Leonardo,Abruzzi,42.3108,14.4002
66026,Villa San Nicola,Abruzzi,42.3474,14.3627
66026,Villa Caldari,Abruzzi,42.2957,14.3616
66030,Filetto,Abruzzi,42.2293,14.245
66030,Mozzagrogna,Abruzzi,42.2127,14.4426
66030,Arielli,Abruzzi,42.26,14.31
66030,Treglio,Abruzzi,42.2618,14.4231
66030,Frisa,Abruzzi,42.2657,14.3762
66030,Poggiofiorito,Abruzzi,42.2541,14.3208
66030,Villa Romagnoli,Abruzzi,42.2115,14.4236
66030,Santa Maria Imbaro,Abruzzi,42.22,14.4503
66030,Guastameroli,Abruzzi,42.2667,14.3667
66030,Carpineto Sinello,Abruzzi,42.0104,14.5042
66030,Montazzoli,Abruzzi,41.9489,14.4307
66031,Casalanguida,Abruzzi,42.0375,14.4961
66032,Castel Frentano,Abruzzi,42.1988,14.3564
66033,Castiglione Messer Marino,Abruzzi,41.8683,14.45
66034,Madonna Del Carmine,Abruzzi,42.2333,14.35
66034,Rizzacorno,Abruzzi,42.1746,14.3884
66034,Lanciano,Abruzzi,42.2272,14.3902
66034,Villa Elce,Abruzzi,42.1864,14.3961
66034,Nasuti,Abruzzi,42.2054,14.3812
66034,Sant'Amato,Abruzzi,42.2054,14.3812
66036,Orsogna,Abruzzi,42.2234,14.2808
66037,Sant'Eusanio Del Sangro,Abruzzi,42.1691,14.3278
66038,Sant'Apollinare Chietino,Abruzzi,42.2966,14.4097
66038,San Vito Chietino,Abruzzi,42.2901,14.4427
66038,Marina Di San Vito,Abruzzi,42.3051,14.4484
66040,Monteferrante,Abruzzi,41.954,14.3886
66040,Civitaluparella,Abruzzi,41.9449,14.3013
66040,Castelguidone,Abruzzi,41.8226,14.5229
66040,Montelapiano,Abruzzi,41.9627,14.3421
66040,Altino,Abruzzi,42.0995,14.3327
66040,Fallo,Abruzzi,41.9383,14.3236
66040,Colledimezzo,Abruzzi,41.9861,14.3869
66040,Gamberale,Abruzzi,41.9053,14.2084
66040,Borrello,Abruzzi,41.9173,14.3054
66040,Montebello Sul Sangro,Abruzzi,41.9866,14.324
66040,Roio Del Sangro,Abruzzi,41.9115,14.3738
66040,Buonanotte,Abruzzi,41.9866,14.324
66040,Perano,Abruzzi,42.1046,14.3958
66040,Pizzoferrato,Abruzzi,41.9224,14.2363
66040,Roccascalegna,Abruzzi,42.0621,14.308
66040,Pennadomo,Abruzzi,42.0039,14.3234
66040,Giuliopoli,Abruzzi,41.9207,14.3574
66040,Rosello,Abruzzi,41.9012,14.3492
66040,Selva Di Altino,Abruzzi,42.1144,14.3443
66040,Pietraferrazzana,Abruzzi,41.9694,14.3745
66040,Selva,Abruzzi,42.1144,14.3443
66040,Quadri,Abruzzi,41.924,14.2877
66041,Monte Marcone,Abruzzi,42.1235,14.4324
66041,Piazzano,Abruzzi,42.1281,14.4107
66041,Piazzano Di Atessa,Abruzzi,42.1281,14.4107
66041,Atessa,Abruzzi,42.0702,14.4505
66041,Piana La Fara,Abruzzi,42.1316,14.4039
66042,Bomba,Abruzzi,42.0334,14.3666
66043,Casoli,Abruzzi,42.1138,14.2899
66043,Selva Piana,Abruzzi,42.1246,14.298
66044,Piane D'Archi,Abruzzi,42.1034,14.3704
66044,Archi,Abruzzi,42.0913,14.3827
66045,Schiavi Di Abruzzo,Abruzzi,41.8131,14.4865
66045,Taverna Di Schiavi Di Abruzzo,Abruzzi,41.8131,14.4865
66046,Tornareccio,Abruzzi,42.0376,14.4153
66046,San Giovanni,Abruzzi,42.0192,14.4201
66047,Villa Santa Maria,Abruzzi,41.9513,14.3515
66050,San Salvo,Abruzzi,42.0441,14.7333
66050,Guilmi,Abruzzi,41.9965,14.4788
66050,Roccaspinalveti,Abruzzi,41.9423,14.4709
66050,Lentella,Abruzzi,41.9958,14.6769
66050,Fresagrandinaria,Abruzzi,41.979,14.6621
66050,San Giovanni Lipioni,Abruzzi,41.8438,14.5627
66050,Furci,Abruzzi,42.0075,14.588
66050,Torrebruna,Abruzzi,41.8674,14.5415
66050,Monteodorisio,Abruzzi,42.0849,14.6539
66050,Liscia,Abruzzi,41.9552,14.5553
66050,Guardiabruna,Abruzzi,41.852,14.5329
66050,Olmi,Abruzzi,41.9198,14.4821
66050,Dogliola,Abruzzi,41.9424,14.6351
66050,Palmoli,Abruzzi,41.9394,14.5814
66050,San Buono,Abruzzi,41.9814,14.5682
66050,San Salvo Marina,Abruzzi,42.0704,14.766
66050,Carunchio,Abruzzi,41.9176,14.5268
66050,Fraine,Abruzzi,41.9062,14.4879
66050,Celenza Sul Trigno,Abruzzi,41.872,14.5789
66050,Tufillo,Abruzzi,41.9168,14.6256
66051,Cupello,Abruzzi,42.0694,14.6705
66052,Gissi,Abruzzi,42.018,14.5448
66054,San Lorenzo Di Vasto,Abruzzi,42.125,14.6739
66054,Incoronata Di Vasto,Abruzzi,42.106,14.7085
66054,Vasto,Abruzzi,42.1115,14.7065
66054,Marina Di Vasto,Abruzzi,42.0937,14.7268
66054,Vasto Marina,Abruzzi,42.0937,14.7268
66100,Brecciarola,Abruzzi,42.3301,14.116
66100,Chieti,Abruzzi,42.3483,14.1649
66100,Chieti Scalo,Abruzzi,42.3392,14.1405
66100,Tricalle,Abruzzi,42.3392,14.1405
66100,Chieti Stazione,Abruzzi,42.3392,14.1405
65010,Carpineto Della Nora,Abruzzi,42.3337,13.8606
65010,Elice,Abruzzi,42.5228,13.9707
65010,Collecorvino,Abruzzi,42.4602,14.0156
65010,Villa Celiera,Abruzzi,42.3818,13.8586
65010,Piccianello,Abruzzi,42.4837,13.9902
65010,Vicoli,Abruzzi,42.341,13.8969
65010,Civitella Casanova,Abruzzi,42.3639,13.8851
65010,Caprara D'Abruzzo,Abruzzi,42.4325,14.1103
65010,Cappelle Sul Tavo,Abruzzi,42.4771,14.1074
65010,Barberi,Abruzzi,42.4407,14.0427
65010,Farindola,Abruzzi,42.4429,13.8214
65010,Santa Lucia Di Collecorvino,Abruzzi,42.4649,14.0758
65010,Vestea,Abruzzi,42.39,13.8844
65010,Moscufo,Abruzzi,42.4271,14.0543
65010,Brittoli,Abruzzi,42.3152,13.8603
65010,Spoltore,Abruzzi,42.455,14.1399
65010,Civitaquana,Abruzzi,42.3258,13.9001
65010,Villa Raspa,Abruzzi,42.4554,14.1846
65010,Santa Lucia,Abruzzi,42.4649,14.0758
65010,Montebello Di Bertona,Abruzzi,42.4169,13.8712
65010,Congiunti,Abruzzi,42.4718,14.0852
65010,Nocciano,Abruzzi,42.3337,13.9857
65010,Picciano,Abruzzi,42.4753,13.9899
65010,Santa Teresa,Abruzzi,42.4275,14.1582
65011,Catignano,Abruzzi,42.347,13.9519
65012,Villareia,Abruzzi,42.3432,14.1113
65012,Vallemare,Abruzzi,42.3524,14.104
65012,Vallemare Di Cepagatti,Abruzzi,42.3524,14.104
65012,Villanova,Abruzzi,42.3825,14.1234
65012,Cepagatti,Abruzzi,42.3651,14.0742
65013,Marina,Abruzzi,42.5114,14.1451
65013,San Martino Bassa,Abruzzi,42.5183,14.1305
65013,Citta' Sant'Angelo,Abruzzi,42.5148,14.1378
65013,Villa Cipresso,Abruzzi,42.5148,14.1378
65014,Loreto Aprutino,Abruzzi,42.431,13.9806
65015,Montesilvano Spiaggia,Abruzzi,42.5011,14.1449
65015,Villa Carmine,Abruzzi,42.5011,14.1449
65015,Montesilvano,Abruzzi,42.5011,14.1449
65015,Montesilvano Colle,Abruzzi,42.4907,14.1446
65015,Montesilvano Marina,Abruzzi,42.5114,14.1451
65017,Penne,Abruzzi,42.4547,13.9275
65017,Roccafinadamo,Abruzzi,42.4787,13.8267
65019,Cerratina,Abruzzi,42.3901,14.1034
65019,Pianella,Abruzzi,42.3992,14.0478
65019,Castellana,Abruzzi,42.3986,14.1077
65020,Abbateggio,Abruzzi,42.2242,14.01
65020,Pietranico,Abruzzi,42.2756,13.9108
65020,Sant'Eufemia A Maiella,Abruzzi,42.1261,14.0265
65020,Villa San Giovanni,Abruzzi,42.3384,14.0263
65020,Villa Oliveti,Abruzzi,42.3382,14.0668
65020,Ticchione,Abruzzi,42.2917,14.0113
65020,Castiglione A Casauria,Abruzzi,42.236,13.8983
65020,Corvara,Abruzzi,42.2751,13.8736
65020,Alanno,Abruzzi,42.2955,13.9708
65020,Turrivalignani,Abruzzi,42.263,14.0285
65020,Salle,Abruzzi,42.1776,13.9609
65020,San Valentino In Abruzzo Citeriore,Abruzzi,42.233,13.9856
65020,Bolognano,Abruzzi,42.2181,13.9601
65020,Cugnoli,Abruzzi,42.2679,14.041
65020,Lettomanoppello,Abruzzi,42.2434,14.0384
65020,Villa Badessa,Abruzzi,42.3529,14.038
65020,Pesconuovo,Abruzzi,42.2583,13.9892
65020,Alanno Scalo,Abruzzi,42.2831,14.0166
65020,Alanno Stazione,Abruzzi,42.2583,13.9892
65020,Rosciano,Abruzzi,42.3223,14.0456
65020,Musellaro,Abruzzi,42.1933,13.9537
65020,Pescosansonesco,Abruzzi,42.2552,13.8848
65020,Piano D'Orta,Abruzzi,42.2583,13.9892
65020,Roccamorice,Abruzzi,42.2127,14.0253
65022,Bussi Officine,Abruzzi,42.1975,13.8445
65022,Bussi Sul Tirino,Abruzzi,42.2132,13.8251
65023,San Tommaso,Abruzzi,42.1873,13.9702
65023,Caramanico Terme,Abruzzi,42.1559,14.0048
65024,Manoppello Scalo,Abruzzi,42.3076,14.0536
65024,Ripacorbaria,Abruzzi,42.2833,14.0667
65024,Manoppello,Abruzzi,42.2592,14.0602
65024,Manoppello Stazione,Abruzzi,42.2834,14.0602
65025,Serramonacesca,Abruzzi,42.248,14.093
65026,Popoli,Abruzzi,42.1687,13.83
65027,Decontra,Abruzzi,42.2429,14.0185
65027,Scafa,Abruzzi,42.2657,13.9966
65028,Tocco Da Casauria,Abruzzi,42.212,13.9155
65029,Torre De' Passeri,Abruzzi,42.2432,13.9333
65100,Pescara,Abruzzi,42.4584,14.2028
65121,Pescara,Abruzzi,42.4584,14.2028
65122,Pescara,Abruzzi,42.4584,14.2028
65123,Pescara,Abruzzi,42.4584,14.2028
